288	hsa-miR-204-3p	17761882,23771700,29986767
289	hsa-miR-204-5p	29986767,32457573,32687247,35111747
290	hsa-miR-205-3p	23125283,29986767
291	hsa-miR-205-5p	29986767
292	hsa-miR-206	29986767,33425889,35111747
293	hsa-miR-20a-3p	23717260,29986767
294	hsa-miR-20a-5p	29986767,34249133
295	hsa-miR-21-3p	23492776,23717260,24648008,27173998,29986767,32728898
296	hsa-miR-210-3p	17761882,23717260,29986767
297	hsa-miR-212-5p	23771700,29986767,32442477
298	hsa-miR-214-3p	26349993,29986767,33070521,35199307
299	hsa-miR-216a-3p	29986767,32140823
300	hsa-miR-218-2-3p	17761882,29986767
301	hsa-miR-218-5p	29986767,30083784,32492291,35090094
302	hsa-miR-219-1	17761882
303	hsa-miR-22-3p	21295623,23771700,26497684,27631550,29986767,31799764,32860338,34078425
304	hsa-miR-22-5p	23771700,29986767,33800495,34315539
305	hsa-miR-221-3p	24055409,27748571,29405726,29986767,30107296,34315950,35199307
306	hsa-miR-222-3p	23938262,24055409,29986767,33800495
307	hsa-miR-223-3p	24648008,24959119,29986767,31800144
308	hsa-miR-223-5p	29986767
309	hsa-miR-224-3p	17761882,23492776,23771700,29986767
310	hsa-miR-224-5p	29986767
311	hsa-miR-24-1-5p	17761882,29986767
312	hsa-miR-24-3p	24959119,29986767,35173238
313	hsa-miR-25-3p	17761882,29986767,32415937
314	hsa-miR-26a-1-3p	17761882,22003392,29986767,32728898
315	hsa-miR-26a-2-3p	21295623,22003392,23771700,29986767
316	hsa-miR-26b-3p	17761882,23492776,29986767
317	hsa-miR-26b-5p	29986767
318	hsa-miR-27a-3p	29986767,32807513,33171483
319	hsa-miR-27b-3p	23771700,29986767,33171483
320	hsa-miR-28-3p	22003392,23771700,26497684,29986767
321	hsa-miR-28-5p	22003392,23771700,29986767,34315539
322	hsa-miR-29	26497684
323	hsa-miR-29a-3p	21295623,24648008,25596505,25675938,29986767,34149802,34184078
324	hsa-miR-29b-1-5p	21295623,22003392,23771700,29986767
325	hsa-miR-29c-3p	21295623,22003392,24648008,25675938,26497684,29986767,32160394,32546033
326	hsa-miR-29s	32649312
327	hsa-miR-301a-3p	22003392,26497684,29986767
328	hsa-miR-301b-3p	23492776,29986767
329	hsa-miR-302b-5p	29986767,32474958
330	hsa-miR-30b-3p	22003392,26497684,29936662,29986767,32154657
331	hsa-miR-30b-5p	25596505,29986767
332	hsa-miR-30c-2-3p	22003392,29936662,29986767,33045885,33800495
333	hsa-miR-30c-5p	22003392,24959119,29986767,34078425,35173238
334	hsa-miR-31-3p	23771700,29986767,33070521
335	hsa-miR-320	23771700
336	hsa-miR-320a-3p	17761882,23717260,29986767,35111747
337	hsa-miR-320b	23717260,29986767,35111747
338	hsa-miR-323a-3p	29986767,31799764,32860338
339	hsa-miR-324-3p	24959119,29986767
340	hsa-miR-326	17761882,23771700,29986767
341	hsa-miR-330-3p	23771700,25284245,29986767,33325083
342	hsa-miR-330-5p	23771700,25284245,29986767,31799764
343	hsa-miR-331-3p	17761882,26497684,29986767
344	hsa-miR-331-5p	23543376,26497684,29986767
345	hsa-miR-335-3p	22003392,29986767,32585840
346	hsa-miR-335-5p	29986767,32585840
347	hsa-miR-338-3p	29986767,31799764,33045885
348	hsa-miR-339-3p	25284245,29986767
349	hsa-miR-339-5p	24959119,25284245,29986767,34381349
350	hsa-miR-340-3p	23771700,29986767
351	hsa-miR-342-3p	23771700,29986767,30362546
352	hsa-miR-342-5p	23771700,29986767
353	hsa-miR-34a-3p	17761882,23771700,25541488,28259991,29631008,29986767,30221494,30267378,34921567
354	hsa-miR-34a-5p	23771700,29986767,33416118,33748099
355	hsa-miR-34b-3p	21558425,22245218,24892887,24959119,25541488,29986767,34204164
356	hsa-miR-34b-5p	29986767
357	hsa-miR-34c-3p	21558425,22245218,23771700,25541488,29986767
358	hsa-miR-34c-5p	29986767,33748099,33800495
359	hsa-miR-369-3p	29986767,35090094
360	hsa-miR-370-3p	17761882,26497684,29986767,33800495
361	hsa-miR-373-3p	23492776,29986767
362	hsa-miR-373-5p	29986767
363	hsa-miR-374	26497684
364	hsa-miR-374a-3p	22003392,29986767
365	hsa-miR-374a-5p	29986767,34315539
366	hsa-miR-374b-5p	29986767,34315539
367	hsa-miR-374c-5p	29986767,33984130
368	hsa-miR-375-3p	23771700,29986767,32457573
369	hsa-miR-376a-3p	28260060,29986767,31930701
370	hsa-miR-376c-3p	17761882,29986767
371	hsa-miR-382-5p	23771700,29986767,31799764
372	hsa-miR-409-3p	26497684,29986767,31799764,35111747
373	hsa-miR-410-3p	29986767,31799764
374	hsa-miR-42	33179210
375	hsa-miR-423-5p	23771700,29986767,32457573,33464446,35111747
376	hsa-miR-4271	27217159,29986767
377	hsa-miR-431-3p	29986767,31799764
378	hsa-miR-431-5p	29986767,33045885,33800495
379	hsa-miR-433-3p	18252210,26070653,26497684,28690499,28986288,29986767,31799764,33800495
380	hsa-miR-434	23771700
381	hsa-miR-434-3p	23771700
382	hsa-miR-4508	29986767,35111747
383	hsa-miR-451	23939409,24648008
384	hsa-miR-4519	26670097,29986767
385	hsa-miR-451a	29986767,35111747
386	hsa-miR-455-3p	29986767,34536521
387	hsa-miR-4745-5p	29986767,33918274
388	hsa-miR-485-3p	25284245,26497684,29986767,33800495,34279788
389	hsa-miR-485-5p	25284245,26497684,29986767,31799764,33800495
390	hsa-miR-486-5p	29986767,34118643,35111747
391	hsa-miR-494-3p	29986767,31811458
392	hsa-miR-495-3p	28260060,29986767,31799764
393	hsa-miR-497-3p	29986767,34459097
394	hsa-miR-497-5p	29986767
395	hsa-miR-5047	29986767,32712773
396	hsa-miR-505-3p	23771700,23938262,29986767
397	hsa-miR-518f-5p	29986767,34536521
398	hsa-miR-532-3p	23771700,24648008,29986767
399	hsa-miR-532-5p	23771700,24648008,29986767
