gene	PMID_PMCID	evidence
ENSG00000010310	34383800,28223210,32445758,26555034,31958096,29462693,29911915,32175781,33900631,35584372,28366809,28666800	PubChem
ENSG00000010610	8689028,35618940,31118938,20098715,33594532,21255222,23589621,34403737,19104149,20118279,17430175,35750147,34595688,32164260,21552986,21738687,32638217,31796095,25671101,31711508,25728499,10771134,26548343,28285346,15319273,26108182,10192776,26016368,32799878,11437075,28866943,16012394,27055651,27147665,29243133,29246926,35314697,25771799,32036014,19104142,30761145,32471263,29363729,16388760,35032575,28791571,35738463,35790489,29259496,33272323,33719004,33725243,16702336,27844285,17897835,19286483,19299711,19432400,32680537,21239064,21300132,27190492,11477337,11455261,11672995,11681844,17196666,22974722,24682738,24933638,32302678,11029607,11137586,26453752,21476611,35608657,23046563,23054369,14579932,29921400,32291601,35309340,35669764,34645462,26018603,34488776,31993745,25441979,32299492,26092111,29807534,30311182,35121334,19240951,26648474,17675560,9374038,35421944,35501735,35294979,28176275,30001736,10230070	PubChem
ENSG00000010704	26340960,21384276,16824219,12902032,17056630,18325820,29315562,25863172,16935420,12098643,18300942	DisGeNET
ENSG00000012779	17976864,23079635,35093118,12392782,27542570,34517113,18760329,23800665,33263931,24059322,29579961,30389631,17305569,24430802,29561824	PubChem
ENSG00000012817	32236821,32909152,35614125,25616444,14558483,27175281,33631895,16756048,27852371,32718129,32186220,17205224,15377418,31446577,29891430,19087697,16649733,19957513,7799464,22427287,31974797,31060672,35466436,34021898,29296278	PubChem
ENSG00000013588	16443751,25238254,24041654,2168520,2144334,27405468,33925146,19558454,31306812,32977535,32528175,32967746,31120439,31254280,21769916,27092049,22883051,24894156,18706979,17573822,32343709,30120413,24128992,21335487,14579121,17519329,33637132,17596374,17996024,21184589,24969021,25677775,23576548,19410557,22090514,28007645,15218106,19656174,27223098,12718862,20410529,25457181,15885624,26687234,26645629,26902301,31891566,15737407,26112144,26051403,26043205,25687550,21323908,21338051,34389279,22016641,29211995,18673194,15056702,23398388,35149433,30744179,32435966,24613977,28805144,31545891,33374784,22312472,33119328,33651366,27830715,28941549,24229325,15686961,21539392,17204745,18591513,24042216,24105074,24672433,24682754,20632968,11033337,33897712,33819374,35684466,22180089,31323226,31238535,20888788,34164834,28483024,28442765,35123006,15217328,35055142,18404453,22563483,25595674,27002730	PubChem
ENSG00000014216	31982778,20034566,29993134,18255150,24619358,33152946,20499928,20123724,24792712,16216885,26451750,19073233,35429682,35469046	PubChem
ENSG00000017427	19744960,19276553,20670374,17018025,17561816,29882004,20696185,17480015,32914394,19470380,9677398,20963499,23400497,19300521,32046737,18365879,14689453,8821058,26894890,25649854,32865663,20347981,34405431,22070686,22703470,18061591,20064577,30905782,16626706,12668241,19410597,18473910,19305504,32706197,11689167,17208483,25534921,33965556,21466597,33600923,21675994,28673122,12939516,26729090,31354022,7472468,29865234,31081340,11143223,11143224,11143225,11143226,11143227,11143228,11143229,11143230,11143231,11143232,11143233,11143234,11143235,11143236,11143237,11143238,11143239,11143240,11143241,11143242,11143243,11143244,11143245,11143246,11143247,11143248,11143249,11143250,11143251,11143252,11143253,11143254,11143255,11143256,11143257,11143258,11143259,11143260,11143261,11143262,11143263,11143264,11143265,11143266,11143267,11143268,11143269,11143270,32418534,19874289,35378500,22398979,24526357	PubChem
ENSG00000018510	20033305,10796544,12535396,16437494,33016374,22009228,21951368,15590953,26297124,30738426,19008850,16229010,16758132,16960863,18427456,20164585,22915447,18581467,14520164,21419002,11768630,19812461,30891742,16594943,25012756,18975103,20392860,7888087	PubChem
ENSG00000019582	36926730,36153630	OpenTargets
