gene	PMID_PMCID	evidence
ENSG00000208027	25284245,26497684,29986767,31799764,33800495	RNAdisease
ENSG00000274705	29986767,34118643,35111747	RNAdisease
ENSG00000194717	29986767,31811458	RNAdisease
ENSG00000207743	28260060,29986767,31799764	RNAdisease
ENSG00000284027	29986767,34459097	RNAdisease
ENSG00000284027	29986767	RNAdisease
ENSG00000284368	29986767,32712773	RNAdisease
ENSG00000207633	23771700,23938262,29986767	RNAdisease
ENSG00000207706	29986767,34536521	RNAdisease
ENSG00000207758	23771700,24648008,29986767	RNAdisease
ENSG00000207758	23771700,24648008,29986767	RNAdisease
ENSG00000264314	26670097,29986767	RNAdisease
ENSG00000207944	29986767,33800495,35111747	RNAdisease
ENSG00000207766	23938262,29986767,33642281	RNAdisease
ENSG00000283950	29986767,34536521	RNAdisease
ENSG00000276575	29986767,34536521	RNAdisease
ENSG00000104972	19628698,23281385,29986767	RNAdisease
ENSG00000104972	17761882,19628698,23281385,29986767	RNAdisease
ENSG00000104972	17761882,19628698,23281385	RNAdisease
ENSG00000104972	19628698,25071443,25232110,25465742,25814668,27003614,27158385,28986288,29986767,30267378,31799764,33421490	RNAdisease
ENSG00000283899	23771700,29986767	RNAdisease
ENSG00000215939	26497684,29986767,32724496	RNAdisease
ENSG00000216009	23771700,29986767,32733234	RNAdisease
ENSG00000216009	23771700,29986767,33013268	RNAdisease
ENSG00000284586	23717260,23771700,29986767,33748099	RNAdisease
ENSG00000215930	29986767,34607512	RNAdisease
ENSG00000207638	17761882,29986767	RNAdisease
ENSG00000284182	34327050	RNAdisease
ENSG00000283762	34327050	RNAdisease
ENSG00000199038	34327050	RNAdisease
ENSMUSG00000086429	33328976	RNAdisease
